iter	Passed	Remaining
417	2606	3628
418	2611	3620
419	2616	3613
420	2622	3606
421	2629	3601
422	2634	3593
423	2641	3588
424	2646	3580
425	2652	3574
426	2659	3568
427	2664	3561
428	2670	3553
429	2674	3545
430	2680	3538
431	2685	3531
432	2692	3526
433	2699	3519
434	2704	3512
435	2709	3504
436	2715	3497
437	2720	3490
438	2725	3483
439	2731	3476
440	2736	3468
441	2741	3461
442	2748	3455
443	2754	3448
444	2759	3441
445	2764	3434
446	2770	3427
447	2775	3419
448	2780	3411
449	2785	3404
450	2791	3397
451	2796	3390
452	2800	3382
453	2806	3375
454	2811	3367
455	2818	3362
456	2824	3355
457	2829	3348
458	2835	3342
459	2841	3335
460	2847	3329
461	2853	3322
462	2859	3316
463	2864	3308
464	2868	3300
465	2874	3294
466	2880	3287
467	2886	3281
468	2891	3274
469	2896	3266
470	2902	3259
471	2908	3253
472	2913	3245
473	2918	3238
474	2923	3231
475	2928	3224
476	2934	3217
477	2940	3211
478	2946	3204
479	2952	3198
480	2957	3190
481	2962	3183
482	2967	3176
483	2973	3169
484	2979	3163
485	2984	3156
486	2989	3149
487	2994	3141
488	2999	3134
489	3005	3128
490	3010	3121
491	3015	3113
492	3020	3106
493	3027	3100
494	3033	3094
495	3041	3090
496	3046	3083
497	3052	3076
498	3057	3069
499	3062	3062
500	3070	3058
501	3076	3051
502	3082	3045
503	3087	3038
504	3092	3031
505	3097	3024
506	3103	3017
507	3109	3011
508	3114	3004
509	3120	2998
510	3126	2991
511	3132	2985
512	3137	2978
513	3142	2971
514	3147	2964
515	3152	2957
516	3159	2951
517	3164	2944
518	3170	2937
519	3175	2931
520	3180	2923
521	3185	2916
522	3190	2909
523	3197	2904
524	3204	2899
525	3209	2892
526	3215	2885
527	3220	2878
528	3226	2872
529	3232	2866
530	3237	2859
531	3242	2852
532	3247	2845
533	3253	2839
534	3259	2832
535	3264	2825
536	3269	2818
537	3274	2811
538	3279	2804
539	3283	2797
540	3289	2791
541	3295	2784
542	3300	2777
543	3306	2771
544	3311	2764
545	3317	2758
546	3323	2752
547	3329	2745
548	3334	2739
549	3340	2733
550	3346	2727
551	3352	2720
552	3357	2713
553	3362	2707
554	3367	2700
555	3372	2693
556	3377	2686
557	3382	2679
558	3388	2673
559	3394	2667
560	3399	2660
561	3404	2653
562	3409	2646
563	3416	2640
564	3421	2634
565	3426	2627
566	3432	2621
567	3439	2615
568	3444	2609
569	3466	2614
570	3484	2617
571	3494	2614
572	3500	2608
573	3505	2601
574	3511	2595
575	3517	2589
576	3522	2582
577	3529	2576
578	3534	2570
579	3540	2563
580	3546	2557
581	3551	2550
582	3556	2544
583	3561	2537
584	3566	2530
585	3571	2523
586	3579	2518
587	3585	2512
588	3590	2505
589	3595	2498
590	3599	2491
591	3606	2485
592	3612	2479
593	3617	2472
594	3623	2466
595	3628	2459
596	3634	2453
597	3639	2446
598	3645	2440
599	3650	2433
600	3655	2427
601	3661	2420
602	3666	2414
603	3673	2408
604	3678	2401
605	3684	2395
606	3689	2388
607	3694	2382
608	3701	2376
609	3706	2370
610	3712	2363
611	3717	2357
612	3723	2350
613	3728	2343
614	3733	2337
615	3739	2331
616	3744	2324
617	3749	2317
618	3754	2310
619	3759	2304
620	3765	2298
621	3771	2291
622	3776	2285
623	3781	2278
624	3786	2271
625	3791	2264
626	3797	2259
627	3803	2252
628	3808	2246
629	3813	2239
630	3818	2233
631	3823	2226
632	3839	2226
633	3844	2219
634	3849	2212
635	3855	2206
636	3862	2201
637	3867	2194
638	3872	2187
639	3877	2180
640	3881	2174
641	3887	2167
642	3892	2161
643	3898	2155
644	3903	2148
645	3909	2142
646	3914	2135
647	3919	2129
648	3925	2122
649	3930	2116
650	3936	2110
651	3942	2104
652	3948	2098
653	3953	2091
654	3961	2086
655	3967	2080
656	3972	2074
657	3977	2067
658	3983	2061
659	3989	2055
660	3995	2049
661	4001	2042
662	4006	2036
663	4010	2029
664	4015	2022
665	4021	2016
666	4026	2010
667	4032	2004
668	4037	1997
669	4043	1991
670	4048	1985
671	4054	1979
672	4060	1972
673	4065	1966
674	4070	1959
675	4075	1953
676	4081	1947
677	4087	1941
678	4092	1934
679	4097	1928
680	4102	1921
681	4108	1915
682	4114	1909
683	4120	1903
684	4126	1897
685	4131	1890
686	4136	1884
687	4142	1878
688	4148	1872
689	4153	1866
690	4158	1859
691	4163	1853
692	4169	1846
693	4174	1840
694	4179	1834
695	4185	1828
696	4190	1821
697	4194	1815
698	4199	1808
699	4204	1801
700	4211	1796
701	4217	1790
702	4222	1783
703	4227	1777
704	4232	1771
705	4237	1764
706	4244	1758
707	4249	1752
708	4255	1746
709	4261	1740
710	4266	1734
711	4272	1728
712	4277	1721
713	4282	1715
714	4288	1709
715	4292	1702
716	4297	1696
717	4302	1690
718	4308	1683
719	4313	1677
720	4318	1671
721	4323	1664
722	4328	1658
723	4334	1652
724	4340	1646
725	4346	1640
726	4353	1634
727	4357	1628
728	4363	1621
729	4369	1615
730	4374	1609
731	4379	1603
732	4384	1597
733	4388	1590
734	4393	1584
735	4399	1578
736	4404	1571
737	4410	1565
738	4414	1559
739	4420	1553
740	4424	1546
741	4430	1540
742	4435	1534
743	4442	1528
744	4447	1522
