iter	Logloss
0	0.63698384
1	0.5903881277
2	0.5432082131
3	0.5000078135
4	0.4621158709
5	0.4203625974
6	0.3850709254
7	0.3548322392
8	0.3252912024
9	0.2979247781
10	0.2764581489
11	0.2540363442
12	0.2340032017
13	0.2167009966
14	0.2009424031
15	0.1832367218
16	0.1676504714
17	0.1552845842
18	0.1443613926
19	0.1337202001
20	0.1237272251
21	0.1143188307
22	0.1067281666
23	0.09949536056
24	0.09275526766
25	0.08639245025
26	0.08067952149
27	0.0758522182
28	0.07046673279
29	0.06574428608
30	0.06101977822
31	0.05744014283
32	0.0534367388
33	0.04975654754
34	0.04665998133
35	0.04411039787
36	0.04138807241
37	0.03907957245
38	0.03667477749
39	0.034428011
40	0.03241893208
41	0.03056479356
42	0.02908866631
43	0.02756191819
44	0.02604303744
45	0.02450002672
46	0.02319925192
47	0.02180233591
48	0.02063268126
49	0.01953307576
50	0.01854759628
51	0.0176495243
52	0.01688690773
53	0.01619661307
54	0.01553559557
55	0.01481208515
56	0.01425727494
57	0.01367774549
58	0.013141556
59	0.01262541877
60	0.01202366919
61	0.01147264474
62	0.01096136221
63	0.01046890162
64	0.01006967391
65	0.009748735376
66	0.00945617918
67	0.009132318067
68	0.008720157449
69	0.008444648434
70	0.00812473628
71	0.007891937447
72	0.007623500185
73	0.007378498619
74	0.007180653627
75	0.006975299546
76	0.006781322933
77	0.006581283612
78	0.006392552882
79	0.00614228315
80	0.005906335526
81	0.005754161112
82	0.005619312981
83	0.005484042371
84	0.00530463692
85	0.005188373397
86	0.005069151616
87	0.004930718035
88	0.004833776039
89	0.004701107269
90	0.004577056569
91	0.004431897299
92	0.004328834411
93	0.004216757984
94	0.004085675371
95	0.003987812112
96	0.003908918127
97	0.003814693327
98	0.003709466271
99	0.003603700593
100	0.003502464024
101	0.003430796536
102	0.003345733041
103	0.003259483812
104	0.003185609615
105	0.003115212605
106	0.003050111109
107	0.002989754689
108	0.002930880099
109	0.002881633861
110	0.002817449464
111	0.002764443674
112	0.002700543893
113	0.002664267806
114	0.002621479521
115	0.002572942967
116	0.002546879883
117	0.002498598799
118	0.002470086593
119	0.002449858996
120	0.00239909514
121	0.002344242323
122	0.002307363127
123	0.00225416129
124	0.002231935749
125	0.002195086602
126	0.00214655365
127	0.002121513228
128	0.002086238195
129	0.00203612629
130	0.002025334037
131	0.001976153973
132	0.001941187415
133	0.001925981858
134	0.001892446037
135	0.001866098899
136	0.001830867982
137	0.001806357629
138	0.001806337034
139	0.001790369348
140	0.0017628017
141	0.001732083798
142	0.001725751667
143	0.00169440691
144	0.001674318415
145	0.00167341876
146	0.001642831407
147	0.001616106805
148	0.001602646087
149	0.001590386634
150	0.001570734124
151	0.00155048053
152	0.001535533818
153	0.001524331802
154	0.001501641466
155	0.001488324351
156	0.001465390475
157	0.001439143161
158	0.001419569092
159	0.001405495474
160	0.001395300365
161	0.001384579013
162	0.00136737945
163	0.001349035794
164	0.001329146721
165	0.001312248657
166	0.001300391314
167	0.001288567058
168	0.001278714524
169	0.001267660612
170	0.001248789025
171	0.00123300118
172	0.001217530025
173	0.001217525636
174	0.001209533296
175	0.001194154538
176	0.001178779607
177	0.001164621246
178	0.001164624509
179	0.001155722836
180	0.001142675932
181	0.001126579049
182	0.001126584113
183	0.00112656183
184	0.001126572746
185	0.001126552039
186	0.001112265719
187	0.001112270445
188	0.001098445544
189	0.001098444869
190	0.001098437891
191	0.001090389393
192	0.00107500422
193	0.001063501607
194	0.001049623811
195	0.001049623811
196	0.001049618859
197	0.001049608281
198	0.001036542582
199	0.001036556312
200	0.001024699532
201	0.001012567138
202	0.00100972007
203	0.0009972023351
204	0.0009885159534
205	0.0009762057443
206	0.0009762242011
207	0.000976188413
208	0.0009761969661
209	0.0009761899886
210	0.0009761899886
211	0.0009761976414
212	0.000976185712
213	0.0009761901011
214	0.0009639781405
215	0.0009639745392
216	0.0009639529313
217	0.0009639529313
218	0.0009639747643
219	0.0009639613719
220	0.0009639426901
221	0.000963941227
222	0.0009639378508
223	0.0009639225452
